Generation,BestFitness,AverageFitness,WorstFitness
0,4177.168118,3307.847526,2651.862285
1,4348.197308,3368.901342,2493.219289
2,4600.857186,3425.958544,2659.471840
3,4720.886661,3439.865087,2586.079551
4,4720.886661,3515.046034,2706.854357
5,4720.886661,3582.651712,2583.336926
6,4720.886661,3601.210469,2649.706765
7,4600.857186,3601.640637,2763.017463
8,4600.857186,3635.854254,2497.619184
9,4538.265356,3665.120918,2772.133288
10,4600.857186,3655.451094,2827.653800
11,4720.886661,3704.390006,2668.450348
12,4720.886661,3721.915603,2966.990737
13,4720.886661,3741.616425,2811.722975
14,4600.857186,3777.471005,3051.384961
15,4676.019398,3852.109415,3022.382428
16,4720.886661,3886.998854,3006.365358
17,4773.972891,3872.626582,3187.364168
18,4720.886661,3805.783821,2919.885500
19,4720.886661,3828.641574,2955.638139
20,4787.202450,3906.857412,3223.440885
21,4720.886661,3841.125066,3080.218018
22,4720.886661,3819.775031,2855.037031
23,4720.886661,3842.420154,3053.691464
24,4720.886661,3867.348479,2919.885500
25,4720.886661,3874.207370,3252.640754
26,4720.886661,3881.241856,3024.293483
27,4771.300099,3888.512967,3199.587578
28,4720.886661,3890.996316,3189.136555
29,4720.886661,3939.968491,3252.640754
