Generation,BestFitness,AverageFitness,WorstFitness
0,4656.476161,3408.845012,2435.975673
1,4656.476161,3503.593869,2664.516187
2,4433.023550,3496.696725,2358.173301
3,4461.796599,3529.970394,2731.865828
4,4548.052014,3563.272708,2620.871482
5,4548.052014,3561.523565,2590.277594
6,4468.002790,3607.402788,2741.051912
7,4656.476161,3666.174632,2811.445233
8,4713.045493,3710.752141,2815.592336
9,4656.476161,3711.622625,2701.944719
10,4656.476161,3739.661478,2881.701707
11,4678.162447,3782.370266,2884.936851
12,4656.476161,3844.069458,3000.791738
13,4656.476161,3865.912861,2994.797205
14,4656.476161,3861.854679,3011.350942
15,4562.230181,3880.471208,3008.588738
16,4562.230181,3890.962459,3036.100530
17,4648.871032,3909.142308,3051.659247
18,4562.230181,3857.238921,2966.426594
19,4562.230181,3895.005079,3242.758834
20,4656.476161,3900.931495,3133.629107
21,4656.476161,3970.813816,3329.945471
22,4656.476161,3974.283027,3242.758834
23,4656.476161,3985.726277,3329.116734
24,4656.476161,3956.971252,3204.033125
25,4656.476161,3930.425284,3282.418707
26,4656.476161,3941.259021,3329.116734
27,4656.476161,3900.596837,3189.392151
28,4656.476161,3900.158424,3318.106248
29,4656.476161,3931.844510,3197.312448
