Generation,BestFitness,AverageFitness,WorstFitness
0,1939.358217,1434.615519,1099.994022
1,1939.358217,1458.653642,1118.044844
2,1939.358217,1436.899423,1092.788650
3,1907.968060,1469.062783,1116.611459
4,1970.633081,1499.133786,1166.136415
5,2017.737845,1522.473230,1131.757823
6,2065.224675,1551.933671,1165.902885
7,2065.224675,1538.090077,1238.545851
8,2065.224675,1549.446972,1186.331395
9,2065.224675,1562.640398,1191.259621
10,2065.224675,1598.757942,1252.190347
11,2065.224675,1620.802645,1236.839013
12,2065.224675,1626.031483,1168.583515
13,2010.704851,1628.459322,1295.316899
14,2065.224675,1655.030000,1236.152227
15,2105.866929,1656.168311,1284.807556
16,2065.224675,1665.643659,1284.807556
17,2017.737845,1675.659529,1279.469842
18,2010.704851,1679.319975,1302.412816
19,2065.224675,1681.735312,1366.406501
20,2093.451353,1714.676392,1274.909969
21,2065.224675,1723.719516,1325.752198
22,2065.224675,1739.501769,1324.244739
23,2022.458089,1730.254903,1339.406501
24,2010.704851,1712.332380,1344.806951
25,2065.224675,1717.105048,1365.387935
26,2065.224675,1728.857013,1405.976376
27,2065.224675,1724.480405,1420.412376
28,2065.224675,1747.070205,1357.802457
29,2065.224675,1736.191758,1339.406501
