Generation,BestFitness,GR Timing Set1,GR Timing Set2,GR Timing Set3,Cycle Length,Offset
0,1906.2700526843685,30,29,14,91,10
0,1906.2700526843685,23,20,24,101,9
0,1906.2700526843685,20,22,30,95,25
0,1906.2700526843685,29,28,29,60,12
0,1906.2700526843685,29,11,30,89,22
1,1951.4557686926776,30,29,14,91,10
1,1951.4557686926776,23,30,24,101,9
1,1951.4557686926776,20,22,30,95,25
1,1951.4557686926776,29,28,29,60,12
1,1951.4557686926776,29,11,30,89,30
2,1951.4557686926776,30,29,14,91,10
2,1951.4557686926776,23,30,24,101,9
2,1951.4557686926776,20,22,30,95,25
2,1951.4557686926776,29,28,29,60,12
2,1951.4557686926776,29,11,30,89,30
3,1903.4186212590614,30,29,14,91,10
3,1903.4186212590614,23,30,24,101,9
3,1903.4186212590614,20,22,20,95,25
3,1903.4186212590614,29,28,29,60,12
3,1903.4186212590614,29,11,30,89,0
4,1893.4740860685258,30,15,15,66,1
4,1893.4740860685258,27,30,29,93,27
4,1893.4740860685258,11,28,20,97,6
4,1893.4740860685258,29,22,22,60,15
4,1893.4740860685258,28,21,10,78,0
5,1844.277053116086,20,27,19,89,11
5,1844.277053116086,30,30,26,91,16
5,1844.277053116086,11,18,30,79,10
5,1844.277053116086,23,25,20,60,20
5,1844.277053116086,15,29,13,77,0
6,1901.3090930605667,20,29,14,91,10
6,1901.3090930605667,23,30,24,101,9
6,1901.3090930605667,20,22,30,95,25
6,1901.3090930605667,29,28,29,60,12
6,1901.3090930605667,29,11,30,89,0
7,1999.5223209126834,30,29,14,91,10
7,1999.5223209126834,23,30,24,101,9
7,1999.5223209126834,30,22,30,95,25
7,1999.5223209126834,29,28,29,60,12
7,1999.5223209126834,29,11,30,89,0
8,1999.5223209126834,30,29,14,91,10
8,1999.5223209126834,23,30,24,101,9
8,1999.5223209126834,30,22,30,95,25
8,1999.5223209126834,29,28,29,60,12
8,1999.5223209126834,29,11,30,89,0
9,1899.1979958231348,10,29,14,91,10
9,1899.1979958231348,23,30,24,101,9
9,1899.1979958231348,30,22,30,95,25
9,1899.1979958231348,29,28,29,60,12
9,1899.1979958231348,29,11,30,89,0
10,1996.1193988198072,30,12,16,65,15
10,1996.1193988198072,10,30,29,86,9
10,1996.1193988198072,30,13,30,79,3
10,1996.1193988198072,22,25,26,60,3
10,1996.1193988198072,27,28,23,97,0
11,1912.7289630269731,20,21,10,98,24
11,1912.7289630269731,25,30,21,93,21
11,1912.7289630269731,28,26,30,90,5
11,1912.7289630269731,30,29,25,60,16
11,1912.7289630269731,21,22,27,89,0
12,1912.7289630269731,20,21,10,98,24
12,1912.7289630269731,25,30,21,93,21
12,1912.7289630269731,28,26,30,90,5
12,1912.7289630269731,30,29,25,60,16
12,1912.7289630269731,21,22,27,89,0
13,1984.5022782338194,30,12,16,65,15
13,1984.5022782338194,10,30,29,86,9
13,1984.5022782338194,28,13,30,79,3
13,1984.5022782338194,22,25,26,60,3
13,1984.5022782338194,27,28,23,97,0
14,1984.5022782338194,30,12,16,65,15
14,1984.5022782338194,10,30,29,86,9
14,1984.5022782338194,28,13,30,79,3
14,1984.5022782338194,22,25,26,60,3
14,1984.5022782338194,27,28,23,97,0
15,1984.5022782338194,30,12,16,65,15
15,1984.5022782338194,10,30,29,86,9
15,1984.5022782338194,28,13,30,79,3
15,1984.5022782338194,22,25,26,60,3
15,1984.5022782338194,27,28,23,97,0
16,1963.2847822592394,30,19,17,69,10
16,1963.2847822592394,23,30,24,94,0
16,1963.2847822592394,19,23,30,84,2
16,1963.2847822592394,29,19,30,60,9
16,1963.2847822592394,17,18,12,74,0
17,1910.2283296369444,30,21,10,98,24
17,1910.2283296369444,25,20,21,93,21
17,1910.2283296369444,28,26,30,90,5
17,1910.2283296369444,30,29,25,60,16
17,1910.2283296369444,21,22,27,89,0
18,1918.9993445534637,30,29,14,91,10
18,1918.9993445534637,23,20,24,101,9
18,1918.9993445534637,20,22,30,95,25
18,1918.9993445534637,30,28,29,60,12
18,1918.9993445534637,30,11,30,89,0
19,1999.5223209126834,30,29,14,91,10
19,1999.5223209126834,23,30,24,101,9
19,1999.5223209126834,30,22,30,95,25
19,1999.5223209126834,29,28,29,60,12
19,1999.5223209126834,29,11,30,89,0
20,1959.7155898222006,30,24,18,82,12
20,1959.7155898222006,18,30,10,73,25
20,1959.7155898222006,17,18,30,76,0
20,1959.7155898222006,26,29,21,60,23
20,1959.7155898222006,25,20,17,81,0
21,1965.375575378993,30,24,18,82,12
21,1965.375575378993,18,30,10,73,25
21,1965.375575378993,17,18,30,76,0
21,1965.375575378993,26,29,21,60,23
21,1965.375575378993,26,20,17,81,0
22,2004.6558428597834,30,29,14,91,10
22,2004.6558428597834,23,30,24,101,9
22,2004.6558428597834,30,22,30,95,25
22,2004.6558428597834,29,28,29,60,12
22,2004.6558428597834,30,11,30,89,0
23,1937.8979371370915,30,29,14,91,10
23,1937.8979371370915,30,20,24,101,9
23,1937.8979371370915,20,22,30,95,25
23,1937.8979371370915,29,28,29,60,12
23,1937.8979371370915,29,11,30,89,0
24,1984.5022782338194,30,12,16,65,15
24,1984.5022782338194,10,30,29,86,9
24,1984.5022782338194,28,13,30,79,3
24,1984.5022782338194,22,25,26,60,3
24,1984.5022782338194,27,28,23,97,0
25,2008.5732080515495,30,29,14,91,10
25,2008.5732080515495,25,30,24,101,9
25,2008.5732080515495,30,22,30,95,25
25,2008.5732080515495,29,28,29,60,12
25,2008.5732080515495,29,11,30,89,0
26,1932.9364226085531,20,29,14,91,10
26,1932.9364226085531,30,30,24,101,9
26,1932.9364226085531,20,22,30,95,25
26,1932.9364226085531,29,28,29,60,12
26,1932.9364226085531,29,11,30,89,0
27,1954.3055020194126,30,29,14,91,10
27,1954.3055020194126,23,20,24,101,9
27,1954.3055020194126,30,22,30,95,25
27,1954.3055020194126,29,28,29,60,12
27,1954.3055020194126,29,11,30,89,0
28,1985.9518929555277,30,29,14,91,10
28,1985.9518929555277,30,20,24,101,9
28,1985.9518929555277,30,22,30,95,25
28,1985.9518929555277,29,28,29,60,12
28,1985.9518929555277,29,11,30,89,0
29,1984.5022782338194,30,12,16,65,15
29,1984.5022782338194,10,30,29,86,9
29,1984.5022782338194,28,13,30,79,3
29,1984.5022782338194,22,25,26,60,3
29,1984.5022782338194,27,28,23,97,0
