Generation,BestFitness,AverageFitness,WorstFitness
0,6491.977233,4779.855690,3622.752086
1,6491.977233,4915.291057,3634.680711
2,6268.270104,4915.816007,3385.266641
3,6473.984389,4919.780864,3763.543141
4,6617.984389,5022.769449,3840.401775
5,6617.984389,5151.708538,3863.188879
6,6761.984389,5226.623789,3679.927567
7,6473.984389,5168.705361,3723.954361
8,6444.490413,5185.562634,3877.888357
9,6444.490413,5249.620821,3905.697442
10,6412.270104,5255.282269,4047.439585
11,6372.396725,5288.859436,4136.105599
12,6586.165967,5318.835514,4193.877664
13,6586.165967,5351.961384,4003.283681
14,6444.490413,5421.913498,4074.534391
15,6635.333787,5422.413375,4233.804570
16,6583.285594,5432.496295,4320.714734
17,6617.984389,5470.284996,4154.977023
18,6617.984389,5510.784759,4177.030595
19,6473.984389,5535.641583,4421.967866
20,6586.165967,5523.730693,4559.123419
21,6621.721523,5534.885930,4559.123419
22,6617.984389,5537.687777,4475.661693
23,6586.165967,5465.620737,4529.763602
24,6706.165967,5457.453829,4584.757066
25,6586.165967,5530.165108,4695.567866
26,6586.165967,5568.104515,4500.847464
27,6617.984389,5540.480381,4613.705026
28,6761.984389,5601.595821,4695.567866
29,6617.984389,5582.156411,4430.392659
