Generation,BestFitness,GR Timing Set1,GR Timing Set2,GR Timing Set3,Cycle Length,Offset
0,483.47254034617833,26,17,20,82,19
0,483.47254034617833,28,16,22,85,25
0,483.47254034617833,20,20,25,85,14
0,483.47254034617833,28,22,27,60,2
0,483.47254034617833,19,21,27,86,24
1,488.5945759289769,30,17,20,82,19
1,488.5945759289769,28,10,22,85,25
1,488.5945759289769,20,20,30,85,14
1,488.5945759289769,28,22,27,60,2
1,488.5945759289769,19,21,27,86,24
2,503.27213534002914,30,17,20,82,19
2,503.27213534002914,28,24,22,85,25
2,503.27213534002914,20,20,25,85,14
2,503.27213534002914,28,22,27,60,2
2,503.27213534002914,19,21,27,86,30
3,503.27213534002914,30,17,20,82,19
3,503.27213534002914,28,24,22,85,25
3,503.27213534002914,20,20,25,85,14
3,503.27213534002914,28,22,27,60,2
3,503.27213534002914,19,21,27,86,30
4,508.1793098830262,30,17,20,82,19
4,508.1793098830262,28,22,22,85,25
4,508.1793098830262,20,20,30,85,14
4,508.1793098830262,28,22,27,60,2
4,508.1793098830262,19,21,27,86,30
5,508.1793098830262,30,17,20,82,19
5,508.1793098830262,28,22,22,85,25
5,508.1793098830262,20,20,30,85,14
5,508.1793098830262,28,22,27,60,2
5,508.1793098830262,19,21,27,86,30
6,521.3184179259658,30,17,20,82,19
6,521.3184179259658,28,30,22,85,25
6,521.3184179259658,20,20,30,85,14
6,521.3184179259658,28,22,27,60,2
6,521.3184179259658,19,21,27,86,30
7,521.3184179259658,30,17,20,82,19
7,521.3184179259658,28,30,22,85,25
7,521.3184179259658,20,20,30,85,14
7,521.3184179259658,28,22,27,60,2
7,521.3184179259658,19,21,27,86,30
8,521.3184179259658,30,17,20,82,19
8,521.3184179259658,28,30,22,85,25
8,521.3184179259658,20,20,30,85,14
8,521.3184179259658,28,22,27,60,2
8,521.3184179259658,19,21,27,86,30
9,536.4808334615934,28,17,20,82,19
9,536.4808334615934,28,30,22,85,25
9,536.4808334615934,20,20,30,85,14
9,536.4808334615934,28,22,27,60,2
9,536.4808334615934,30,21,27,86,2
10,521.3184179259658,30,17,20,82,19
10,521.3184179259658,28,30,22,85,25
10,521.3184179259658,20,20,30,85,14
10,521.3184179259658,28,22,27,60,2
10,521.3184179259658,19,21,27,86,3
11,521.3184179259658,30,17,20,82,19
11,521.3184179259658,28,30,22,85,25
11,521.3184179259658,20,20,30,85,14
11,521.3184179259658,28,22,27,60,2
11,521.3184179259658,19,21,27,86,3
12,521.3184179259658,30,17,20,82,19
12,521.3184179259658,28,30,22,85,25
12,521.3184179259658,20,20,30,85,14
12,521.3184179259658,28,22,27,60,2
12,521.3184179259658,19,21,27,86,3
13,541.0483000233559,30,17,20,82,19
13,541.0483000233559,28,30,22,85,25
13,541.0483000233559,20,20,30,85,14
13,541.0483000233559,28,22,27,60,2
13,541.0483000233559,30,21,27,86,4
14,521.3184179259658,30,17,20,82,19
14,521.3184179259658,28,30,22,85,25
14,521.3184179259658,20,20,30,85,14
14,521.3184179259658,28,22,27,60,2
14,521.3184179259658,19,21,27,86,3
15,524.6160791762543,30,17,20,82,19
15,524.6160791762543,30,30,22,85,25
15,524.6160791762543,20,20,30,85,14
15,524.6160791762543,28,22,27,60,2
15,524.6160791762543,19,21,27,86,2
16,521.3184179259658,30,17,20,82,19
16,521.3184179259658,28,30,22,85,25
16,521.3184179259658,20,20,30,85,14
16,521.3184179259658,28,22,27,60,2
16,521.3184179259658,19,21,27,86,30
17,529.3288191321477,30,17,20,82,19
17,529.3288191321477,28,30,22,85,25
17,529.3288191321477,30,20,22,85,14
17,529.3288191321477,30,22,27,60,2
17,529.3288191321477,19,21,27,86,11
18,524.6417568858049,30,17,20,82,19
18,524.6417568858049,28,30,22,85,25
18,524.6417568858049,30,20,22,85,14
18,524.6417568858049,28,22,27,60,2
18,524.6417568858049,19,21,27,86,11
19,521.3184179259658,30,17,20,82,19
19,521.3184179259658,28,30,22,85,25
19,521.3184179259658,20,20,30,85,14
19,521.3184179259658,28,22,27,60,2
