Generation,BestFitness,AverageFitness,WorstFitness
0,3078.395652,2403.609849,1818.869587
1,3121.281924,2477.227934,1734.859083
2,3204.067512,2464.239453,1795.733055
3,3202.480087,2472.746500,1768.651554
4,3202.480087,2514.875559,1849.704688
5,3232.996921,2523.909216,1947.482615
6,3273.147997,2538.430071,1925.266979
7,3273.147997,2594.702435,1848.644766
8,3273.147997,2628.865965,1976.061044
9,3267.128494,2640.104716,2003.421491
10,3322.028239,2651.725661,1924.825049
11,3266.066296,2685.725415,2114.322846
12,3355.344640,2707.462212,1999.301924
13,3355.344640,2721.252359,2124.029945
14,3355.344640,2725.831489,2151.856150
15,3380.008674,2712.184567,2215.757063
16,3355.344640,2719.013540,2219.511359
17,3342.032237,2761.702967,2172.415386
18,3358.900613,2787.017389,2199.834348
19,3312.158471,2797.092301,2160.752692
20,3355.344640,2789.242912,2160.752692
21,3355.344640,2825.683243,2244.935159
22,3273.147997,2788.167630,2230.921291
23,3355.344640,2823.213924,2244.935159
24,3355.344640,2852.198704,2244.935159
25,3342.032237,2815.675465,2335.914376
26,3343.710328,2783.740664,2293.851541
27,3277.568444,2834.166766,2244.935159
28,3355.344640,2841.800975,2396.520087
29,3355.344640,2831.528342,2375.273279
