Generation,BestFitness,AverageFitness,WorstFitness
0,6280.291844,4756.015989,3425.876642
1,6327.389849,4863.090603,3807.138828
2,6395.961277,4865.296180,3544.930891
3,6323.403138,4899.647133,3651.052528
4,6346.960975,4957.758412,3719.023735
5,6346.960975,5025.973878,3887.616099
6,6514.402836,5032.379592,3781.413295
7,6514.402836,5093.892029,4057.648127
8,6681.844696,5152.307485,3803.914048
9,6681.844696,5168.789573,4025.318391
10,6514.402836,5258.331946,4033.909130
11,6681.844696,5237.673057,3750.615203
12,6681.844696,5241.890653,4020.567705
13,6750.416125,5284.445154,4229.472053
14,6681.844696,5325.776374,4312.726628
15,6681.844696,5377.770318,4282.296773
16,6681.844696,5432.145537,4245.260919
17,6514.402836,5448.890677,4318.638871
18,6510.416125,5431.648078,4375.952452
19,6514.402836,5472.621082,4262.535425
20,6514.402836,5512.690414,4245.027571
21,6514.402836,5566.482977,4188.366363
22,6531.719517,5533.152066,4357.444837
23,6531.719517,5532.459964,4408.978493
24,6681.844696,5609.520299,4531.937143
25,6681.844696,5637.736380,4710.416359
26,6681.844696,5616.433817,4624.728223
27,6681.844696,5586.355043,4581.268453
28,6765.565627,5597.368050,4397.013025
29,6681.844696,5649.560662,4561.446280
