Generation,BestFitness,AverageFitness,WorstFitness
0,0.562833,0.081835,0.040955
1,0.712172,0.097680,0.044368
2,0.363740,0.094421,0.000000
3,0.323184,0.095207,0.000000
4,0.467655,0.109527,0.043601
5,0.802910,0.120127,0.048167
6,0.802910,0.107984,0.046747
7,0.448782,0.110208,0.050381
8,0.439227,0.120869,0.052333
9,0.920468,0.133977,0.051231
10,0.802910,0.133636,0.052467
11,0.802910,0.131365,0.054262
12,0.802910,0.123613,0.056303
13,0.802910,0.138215,0.052618
14,0.802910,0.147288,0.060047
15,0.448782,0.143679,0.055425
16,0.448782,0.151010,0.060047
17,0.439227,0.143038,0.060047
18,0.500405,0.141145,0.057088
19,0.654996,0.150261,0.057003
20,0.654996,0.150833,0.060047
21,0.654996,0.145432,0.058353
22,0.377694,0.144197,0.057380
23,0.491188,0.154403,0.055481
24,0.547152,0.162849,0.061895
25,0.654996,0.171279,0.060047
26,0.654996,0.175271,0.060801
27,0.654996,0.168305,0.063703
28,0.654996,0.158179,0.060047
29,0.547152,0.158658,0.060047
