Generation,BestFitness,AverageFitness,WorstFitness
0,1.819463,0.084694,0.000000
1,2.761406,0.125288,0.000000
2,1.995835,0.126356,0.000000
3,2.207400,0.134227,0.044768
4,8.022849,0.180357,0.045746
5,8.022849,0.253825,0.048987
6,8.022849,0.300457,0.051148
7,1.742118,0.165344,0.052053
8,4.886534,0.205889,0.048400
9,8.022849,0.334154,0.000000
10,33.769354,0.706499,0.054828
11,33.769354,0.870266,0.049853
12,33.769354,0.852924,0.053442
13,33.769354,1.306272,0.000000
14,33.769354,0.932199,0.000000
15,33.769354,1.031260,0.000000
16,33.769354,1.897804,0.058567
17,33.769354,0.919589,0.059909
18,8.022849,0.515581,0.000000
19,33.769354,0.782010,0.063686
20,33.769354,1.042736,0.065438
21,33.769354,0.597211,0.066816
22,33.769354,1.089353,0.070925
23,631.812883,3.856101,0.070306
24,33.769354,1.364666,0.076358
25,33.769354,1.213112,0.076676
26,33.769354,1.294079,0.074523
27,102.729885,2.383317,0.076676
28,33.769354,2.174316,0.076676
29,33.769354,1.863543,0.072283
