Generation,BestFitness,AverageFitness,WorstFitness
0,1883.244027,1435.696719,1123.561283
1,1883.244027,1469.369680,1060.185896
2,1875.028332,1455.261796,1111.733663
3,1875.028332,1477.268097,1097.307998
4,1928.626146,1501.983646,1128.751756
5,1928.626146,1504.472318,1169.376197
6,1907.554081,1514.279409,1221.559546
7,1943.581816,1524.204824,1102.792319
8,1944.532665,1549.214475,1222.549230
9,1988.663532,1570.454601,1154.485222
10,1988.663532,1575.910442,1224.117473
11,1936.097027,1577.444729,1244.826744
12,1932.014588,1596.615729,1192.650051
13,1988.663532,1604.995758,1246.579736
14,2055.362249,1616.924764,1293.798356
15,1988.663532,1616.378375,1268.714879
16,1988.663532,1619.310352,1322.975699
17,1931.076644,1618.586375,1184.734807
18,1948.615020,1627.858938,1319.796107
19,2014.853997,1642.679253,1312.949435
20,1971.165186,1645.169083,1302.614553
21,1988.663532,1648.516683,1323.789094
22,1988.663532,1646.420478,1307.528849
23,2010.768059,1644.315205,1362.936319
24,1948.615020,1648.965201,1387.133372
25,1971.165186,1661.663391,1330.869579
26,1988.663532,1661.969968,1387.133372
27,1995.239727,1666.354894,1276.431846
28,1971.165186,1665.413217,1339.658052
29,1971.165186,1658.965794,1375.583723
