Generation,BestFitness,GR Timing Set1,GR Timing Set2,GR Timing Set3,Cycle Length,Offset
0,1788.24747588097,26,23,25,80,18
0,1788.24747588097,10,30,23,75,20
0,1788.24747588097,23,24,10,92,7
0,1788.24747588097,29,10,24,60,30
0,1788.24747588097,26,14,17,76,0
1,1906.2700526843685,30,29,14,91,10
1,1906.2700526843685,23,20,24,101,9
1,1906.2700526843685,20,22,30,95,25
1,1906.2700526843685,29,28,29,60,12
1,1906.2700526843685,29,11,30,89,22
2,1909.120164741805,30,29,14,91,10
2,1909.120164741805,23,10,24,101,9
2,1909.120164741805,30,22,30,95,25
2,1909.120164741805,29,28,29,60,12
2,1909.120164741805,29,11,30,89,0
3,1954.3055020194126,30,29,14,91,10
3,1954.3055020194126,23,20,24,101,9
3,1954.3055020194126,30,22,30,95,25
3,1954.3055020194126,29,28,29,60,12
3,1954.3055020194126,29,11,30,89,0
4,1903.4186212590614,30,29,14,91,10
4,1903.4186212590614,23,30,24,101,9
4,1903.4186212590614,20,22,20,95,25
4,1903.4186212590614,29,28,29,60,12
4,1903.4186212590614,29,11,30,89,0
5,1868.83855225002,30,29,25,103,11
5,1868.83855225002,15,30,15,73,13
5,1868.83855225002,19,30,30,80,3
5,1868.83855225002,24,16,25,60,18
5,1868.83855225002,21,19,24,98,0
6,1813.082677587209,30,29,14,91,10
6,1813.082677587209,23,10,24,101,9
6,1813.082677587209,20,22,20,95,25
6,1813.082677587209,29,28,29,60,12
6,1813.082677587209,29,11,30,89,0
7,1954.3055020194126,30,29,14,91,10
7,1954.3055020194126,23,20,24,101,9
7,1954.3055020194126,30,22,30,95,25
7,1954.3055020194126,29,28,29,60,12
7,1954.3055020194126,29,11,30,89,0
8,1949.3448219931115,20,29,14,91,10
8,1949.3448219931115,23,30,24,101,9
8,1949.3448219931115,30,22,30,95,25
8,1949.3448219931115,29,28,29,60,12
8,1949.3448219931115,29,11,30,89,0
9,1951.4557686926776,30,29,14,91,10
9,1951.4557686926776,23,30,24,101,9
9,1951.4557686926776,20,22,30,95,25
9,1951.4557686926776,29,28,29,60,12
9,1951.4557686926776,29,11,30,89,0
10,1951.4557686926776,30,29,14,91,10
10,1951.4557686926776,23,30,24,101,9
10,1951.4557686926776,20,22,30,95,25
10,1951.4557686926776,29,28,29,60,12
10,1951.4557686926776,29,11,30,89,0
11,1956.9114354291773,20,19,17,69,10
11,1956.9114354291773,23,30,24,94,0
11,1956.9114354291773,30,23,30,84,2
11,1956.9114354291773,29,19,30,60,9
11,1956.9114354291773,17,18,12,74,0
12,1909.120164741805,30,29,14,91,10
12,1909.120164741805,23,10,24,101,9
12,1909.120164741805,30,22,30,95,25
12,1909.120164741805,29,28,29,60,12
12,1909.120164741805,29,11,30,89,0
13,1999.5223209126834,30,29,14,91,10
13,1999.5223209126834,23,30,24,101,9
13,1999.5223209126834,30,22,30,95,25
13,1999.5223209126834,29,28,29,60,12
13,1999.5223209126834,29,11,30,89,0
14,1999.5223209126834,30,29,14,91,10
14,1999.5223209126834,23,30,24,101,9
14,1999.5223209126834,30,22,30,95,25
14,1999.5223209126834,29,28,29,60,12
14,1999.5223209126834,29,11,30,89,0
15,1963.2847822592394,30,19,17,69,10
15,1963.2847822592394,23,30,24,94,0
15,1963.2847822592394,19,23,30,84,2
15,1963.2847822592394,29,19,30,60,9
15,1963.2847822592394,17,18,12,74,0
16,1984.5022782338194,30,12,16,65,15
16,1984.5022782338194,10,30,29,86,9
16,1984.5022782338194,28,13,30,79,3
16,1984.5022782338194,22,25,26,60,3
16,1984.5022782338194,27,28,23,97,0
17,1954.4732087991906,20,29,14,91,10
17,1954.4732087991906,23,30,24,101,9
17,1954.4732087991906,30,22,30,95,25
17,1954.4732087991906,29,28,29,60,12
17,1954.4732087991906,30,11,30,89,0
18,1951.4557686926776,30,29,14,91,10
18,1951.4557686926776,23,30,24,101,9
18,1951.4557686926776,20,22,30,95,25
18,1951.4557686926776,29,28,29,60,12
18,1951.4557686926776,29,11,30,89,0
19,1999.5223209126834,30,29,14,91,10
19,1999.5223209126834,23,30,24,101,9
19,1999.5223209126834,30,22,30,95,25
19,1999.5223209126834,29,28,29,60,12
19,1999.5223209126834,29,11,30,89,0
20,1951.4557686926776,30,29,14,91,10
20,1951.4557686926776,23,30,24,101,9
20,1951.4557686926776,30,22,20,95,25
20,1951.4557686926776,29,28,29,60,12
20,1951.4557686926776,29,11,30,89,0
21,2004.6558428597834,30,29,14,91,10
21,2004.6558428597834,23,30,24,101,9
21,2004.6558428597834,30,22,30,95,25
21,2004.6558428597834,29,28,29,60,12
21,2004.6558428597834,30,11,30,89,0
22,2007.1319641655425,30,29,14,91,10
22,2007.1319641655425,23,30,24,101,9
22,2007.1319641655425,30,22,30,95,25
22,2007.1319641655425,30,28,29,60,12
22,2007.1319641655425,29,11,30,89,0
23,2031.2219217087531,30,29,14,91,10
23,2031.2219217087531,30,30,24,101,9
23,2031.2219217087531,30,22,30,95,25
23,2031.2219217087531,29,28,29,60,12
23,2031.2219217087531,29,11,30,89,0
24,1954.3055020194126,30,29,14,91,10
24,1954.3055020194126,23,20,24,101,9
24,1954.3055020194126,30,22,30,95,25
24,1954.3055020194126,29,28,29,60,12
24,1954.3055020194126,29,11,30,89,0
25,1999.5223209126834,30,29,14,91,10
25,1999.5223209126834,23,30,24,101,9
25,1999.5223209126834,30,22,30,95,25
25,1999.5223209126834,29,28,29,60,12
25,1999.5223209126834,29,11,30,89,0
26,1999.5223209126834,30,29,14,91,10
26,1999.5223209126834,23,30,24,101,9
26,1999.5223209126834,30,22,30,95,25
26,1999.5223209126834,29,28,29,60,12
26,1999.5223209126834,29,11,30,89,0
27,1999.5223209126834,30,29,14,91,10
27,1999.5223209126834,23,30,24,101,9
27,1999.5223209126834,30,22,30,95,25
27,1999.5223209126834,29,28,29,60,12
27,1999.5223209126834,29,11,30,89,0
28,2038.8418759350363,30,29,14,91,10
28,2038.8418759350363,30,30,24,101,9
28,2038.8418759350363,30,22,30,95,25
28,2038.8418759350363,30,28,29,60,12
28,2038.8418759350363,29,11,30,89,0
29,2038.8418759350363,30,29,14,91,10
29,2038.8418759350363,30,30,24,101,9
29,2038.8418759350363,30,22,30,95,25
29,2038.8418759350363,30,28,29,60,12
29,2038.8418759350363,29,11,30,89,0
