Generation,BestFitness,AverageFitness,WorstFitness
0,0.418344,0.081490,0.000000
1,0.418344,0.093219,0.000000
2,0.418344,0.092786,0.000000
3,0.258782,0.092165,0.045760
4,0.258782,0.094372,0.042980
5,0.310929,0.101177,0.044899
6,0.310929,0.111043,0.045585
7,0.344101,0.107678,0.049543
8,0.344101,0.105812,0.050186
9,0.265059,0.110039,0.052868
10,0.379425,0.114436,0.000000
11,0.344290,0.122933,0.046717
12,0.449922,0.127122,0.056834
13,0.437139,0.122447,0.054400
14,0.437139,0.114402,0.056888
15,0.351299,0.124624,0.054691
16,0.351299,0.128513,0.057477
17,0.368934,0.124699,0.057477
18,0.368934,0.125787,0.054308
19,0.370463,0.127839,0.056332
20,0.509834,0.130761,0.055735
21,0.509834,0.139286,0.060365
22,0.509834,0.135882,0.061503
23,0.344101,0.141888,0.063919
24,0.509834,0.145700,0.066796
25,0.509834,0.146924,0.062015
26,0.509834,0.138600,0.065936
27,1.000000,0.134587,0.061913
28,0.437139,0.132895,0.066796
29,0.391137,0.140378,0.066333
