Generation,BestFitness,AverageFitness,WorstFitness
0,1748.240306,1385.792640,991.295614
1,1771.024199,1416.666061,954.725312
2,1764.487489,1413.550861,1089.420114
3,1803.476452,1441.489666,1069.267801
4,1810.108296,1455.385116,1062.871024
5,1823.788369,1446.161840,1116.907623
6,1835.757753,1469.167345,1077.630762
7,1835.757753,1487.924728,1155.768478
8,1852.007331,1484.177480,1153.307397
9,1852.019072,1486.969399,1085.475783
10,1870.922268,1492.922995,1158.573733
11,1870.922268,1502.888707,1151.752463
12,1858.171912,1502.122622,1188.252394
13,1858.171912,1515.408946,1166.265256
14,1853.762057,1519.096754,1219.106689
15,1903.377949,1531.492530,1219.106689
16,1903.377949,1536.505426,1141.422314
17,1892.044664,1537.175617,1175.401607
18,1858.171912,1539.436521,1201.347371
19,1858.171912,1539.968622,1249.314933
20,1903.377949,1552.375489,1229.197984
21,1910.507987,1559.288358,1214.883730
22,1919.728732,1576.733930,1236.330212
23,1942.448426,1563.930349,1233.946516
24,1959.756836,1559.125086,1236.992433
25,1903.377949,1574.297989,1264.106975
26,1903.377949,1590.263594,1282.546321
27,1903.377949,1597.411221,1302.974567
28,1903.377949,1581.684809,1262.310041
29,1934.011022,1582.544401,1302.974567
