Generation,BestFitness,AverageFitness,WorstFitness
0,1934.395346,1405.114571,1080.857858
1,1934.395346,1453.301041,1090.101738
2,1934.395346,1455.535038,1052.345491
3,1905.346898,1462.404818,1070.354228
4,1891.739934,1461.297104,1011.540143
5,1934.395346,1494.200940,1128.818350
6,1934.656483,1492.824243,1039.577236
7,1934.656483,1507.536097,1159.329088
8,1905.852172,1521.573009,1083.794599
9,1957.413216,1539.372795,1145.845039
10,1957.413216,1566.976087,1122.801366
11,1941.199987,1585.130106,1161.592619
12,1971.621793,1589.796439,1176.844678
13,1955.451383,1602.025990,1251.617430
14,1955.451383,1618.531059,1177.589881
15,1955.451383,1605.202919,1166.942260
16,1982.708048,1613.352143,1190.781625
17,1982.708048,1651.137427,1307.312770
18,1982.708048,1634.811330,1207.459569
19,1982.708048,1628.738312,1324.753875
20,1982.708048,1640.239495,1304.352150
21,1982.708048,1642.405381,1325.393327
22,1982.708048,1639.381746,1366.510794
23,1982.708048,1650.132490,1287.689713
24,1982.708048,1655.630743,1283.287321
25,1982.708048,1657.617756,1308.231600
26,1982.708048,1656.987089,1308.231600
27,1982.708048,1651.260792,1372.596347
28,1982.708048,1643.763746,1265.629506
29,2077.232121,1656.687577,1305.545664
