Generation,BestFitness,AverageFitness,WorstFitness
0,1947.116025,1414.921128,1070.907909
1,1947.116025,1459.090404,1054.357671
2,1904.171980,1437.304922,1091.436710
3,1949.817403,1437.018726,1090.594776
4,1893.536552,1462.287813,1081.309339
5,1956.078467,1487.452541,1126.082515
6,1974.859480,1490.874139,1080.596069
7,1956.078467,1498.886037,1140.722019
8,1956.078467,1517.999850,1169.362881
9,1956.078467,1530.675726,1154.536987
10,1956.078467,1548.692321,1159.789146
11,1956.078467,1553.061674,1181.434922
12,1906.130395,1576.655201,1181.925857
13,1962.000160,1601.866976,1252.625853
14,1962.000160,1584.671651,1214.978557
15,2007.730241,1577.165963,1255.314994
16,1911.291850,1597.003580,1229.592888
17,1935.299285,1601.399352,1240.348163
18,1911.291850,1613.098659,1286.548820
19,1998.865304,1613.169217,1277.894573
20,1962.000160,1613.804679,1303.348319
21,1956.078467,1628.163156,1323.867950
22,1962.000160,1630.361692,1333.795761
23,1962.000160,1646.985636,1254.963707
24,1956.078467,1646.023886,1333.795761
25,1956.078467,1614.525286,1323.867950
26,1956.078467,1610.202409,1288.546074
27,1956.078467,1621.310335,1359.657967
28,1956.078467,1642.048648,1254.963707
29,1956.078467,1641.111131,1333.795761
