Generation,BestFitness,AverageFitness,WorstFitness
0,1778.962801,1411.565414,1124.152426
1,1848.029663,1466.206014,1018.953835
2,1935.717116,1466.915203,1090.918623
3,1935.717116,1477.296160,1145.655364
4,1879.946006,1474.009811,1092.151844
5,1887.696544,1464.916264,1083.442253
6,1887.696544,1489.339382,1067.029108
7,1935.717116,1510.961240,1171.375809
8,1935.717116,1523.265647,1172.934676
9,2001.945250,1532.486946,1113.550019
10,2001.945250,1531.538713,1198.427639
11,2001.945250,1529.065887,1182.976854
12,2001.945250,1556.001905,1207.704642
13,1896.043814,1563.677540,1199.122698
14,1923.265092,1565.597676,1167.008527
15,1940.094487,1584.861441,1213.215377
16,1940.094487,1581.310615,1262.335953
17,1935.717116,1576.301203,1216.909319
18,1946.107823,1589.178786,1274.678761
19,2070.224216,1597.435423,1231.443257
20,2001.945250,1590.469243,1262.483285
21,2001.945250,1595.278218,1294.065285
22,2001.945250,1607.561156,1288.342013
23,1946.107823,1598.156527,1275.623066
24,1945.932617,1598.498765,1319.465347
25,1970.216128,1627.825825,1319.465347
26,1940.094487,1604.966971,1311.883094
27,1935.717116,1599.800043,1319.465347
28,2001.945250,1634.877070,1311.429891
29,2076.063241,1639.960954,1319.465347
