Generation,BestFitness,AverageFitness,WorstFitness
0,1896.586408,1382.320378,1030.064912
1,1932.467309,1426.111134,992.957978
2,1886.491367,1438.963593,985.404542
3,1898.657309,1456.010128,1051.486693
4,1988.390418,1459.948273,1009.107889
5,2012.633546,1463.513065,1081.414024
6,1887.756312,1497.198704,1064.272076
7,1943.447950,1512.643632,1039.786374
8,1988.390418,1521.427668,1041.622251
9,1989.226840,1549.807634,1078.631254
10,1892.074966,1549.832179,1129.618561
11,1943.447950,1564.640338,1184.121742
12,1988.390418,1597.350534,1203.451634
13,1988.390418,1600.927558,1168.420038
14,1998.054291,1604.692041,1171.780284
15,1998.054291,1627.180221,1265.631811
16,1998.054291,1643.640105,1243.178740
17,1988.390418,1670.241672,1226.454264
18,1997.437609,1650.056348,1222.296652
19,1988.390418,1650.696111,1313.297069
20,1988.390418,1654.852217,1387.900984
21,2003.587664,1652.231478,1302.694289
22,1988.390418,1658.888741,1265.661488
23,1988.390418,1677.906180,1363.274021
24,1988.390418,1691.912813,1315.625460
25,1988.390418,1678.199969,1421.504194
26,1988.390418,1673.015304,1354.987987
27,1997.437609,1682.996405,1421.504194
28,1943.447950,1676.821601,1341.029255
29,1943.447950,1682.789545,1395.094757
