Generation,BestFitness,AverageFitness,WorstFitness
0,1894.761827,1405.495078,1015.388398
1,1947.844131,1445.590520,1076.236648
2,1947.844131,1451.284070,1093.311436
3,1999.407765,1473.567937,1039.456487
4,2004.998777,1494.514988,1003.523111
5,2060.715888,1523.510669,1045.134552
6,2117.895077,1566.636667,1134.095288
7,2117.895077,1580.196118,1159.939704
8,2117.895077,1575.717099,1108.857563
9,2117.895077,1591.244097,1128.730636
10,2048.369717,1608.631600,1170.606583
11,2060.715888,1608.777193,1084.983385
12,2060.715888,1633.037866,1177.464901
13,2055.790314,1651.002909,1140.196914
14,2073.082588,1658.765216,1230.992523
15,2010.436705,1681.063088,1203.695700
16,2117.895077,1689.575375,1306.121728
17,2117.895077,1695.896383,1305.951572
18,2199.100556,1719.381777,1306.333154
19,2160.204355,1725.477332,1295.982056
20,2117.895077,1722.229268,1242.107978
21,2130.388228,1739.135436,1366.965780
22,2117.895077,1757.972407,1439.841516
23,2060.715888,1758.836988,1349.539269
24,2175.540664,1749.578465,1347.578195
25,2117.895077,1736.792808,1474.172637
26,2117.895077,1756.407346,1423.968954
27,2117.895077,1781.821408,1366.965780
28,2123.259783,1777.237214,1419.366345
29,2117.895077,1789.739594,1474.172637
