Generation,BestFitness,AverageFitness,WorstFitness
0,2040.707412,1375.551863,1013.260762
1,2054.609485,1421.168244,965.838407
2,1903.870691,1404.982696,874.330530
3,1918.287165,1429.528349,1055.988639
4,2040.707412,1474.544873,1107.725440
5,2040.707412,1488.027679,1018.763058
6,1933.313405,1498.238152,1042.798083
7,1972.077557,1507.216086,1005.983240
8,1972.077557,1527.623453,1144.582068
9,1992.492345,1558.683719,1155.868894
10,2003.531888,1599.115056,1189.405957
11,1992.492345,1589.410449,1081.501715
12,1992.492345,1593.606009,1179.061702
13,1992.492345,1593.971584,1222.259266
14,2040.707412,1612.260164,1200.118196
15,2040.707412,1634.708271,1242.454250
16,1987.086882,1618.990813,1169.039555
17,1987.086882,1611.165184,1241.654776
18,2040.707412,1650.872254,1281.827406
19,2040.707412,1668.786924,1373.600572
20,2040.707412,1650.201336,1250.105383
21,2107.543360,1679.029195,1309.981312
22,2075.423024,1694.364885,1373.600572
23,2040.707412,1660.152057,1373.600572
24,2040.707412,1661.959002,1373.600572
25,1992.492345,1689.083517,1373.600572
26,2040.707412,1705.402767,1354.575800
27,2040.707412,1678.230075,1373.600572
28,2040.707412,1681.155984,1329.351501
29,2040.707412,1699.029086,1373.600572
