Generation,BestFitness,AverageFitness,WorstFitness
0,1859.436588,1363.760198,1010.514783
1,1859.436588,1396.912537,1062.033698
2,1836.004523,1398.873401,1026.097802
3,1767.988926,1408.332895,941.097786
4,1786.426940,1447.629334,1052.537764
5,1858.858242,1469.666676,983.511097
6,1861.468101,1463.059207,1054.484841
7,1872.328841,1476.435890,1105.113231
8,1869.251319,1498.715878,1136.835160
9,1877.603802,1511.919485,1155.345248
10,1877.603802,1508.808460,1190.979058
11,1880.635331,1515.199352,1165.721435
12,1877.603802,1515.309335,1217.154737
13,1869.251319,1524.042182,1143.628549
14,1922.286109,1523.132664,1139.868403
15,1922.286109,1539.519518,1217.138149
16,1861.468101,1549.148358,1252.847408
17,1922.286109,1563.623316,1246.588448
18,1922.286109,1587.291356,1246.588448
19,1922.286109,1593.215201,1220.091277
20,1873.052109,1579.427697,1306.524919
21,1877.603802,1577.639373,1290.319657
22,1935.426122,1575.971292,1266.001765
23,1935.426122,1591.407089,1240.942431
24,1883.510444,1589.982361,1279.012452
25,1922.286109,1578.707636,1304.533731
26,1922.286109,1604.267164,1306.524919
27,1960.454138,1628.786662,1319.098891
28,2006.235319,1611.479810,1306.524919
29,1922.286109,1602.802370,1288.671750
