Generation,BestFitness,AverageFitness,WorstFitness
0,1829.328311,1386.170126,930.242037
1,2034.643234,1421.541783,1004.848885
2,2034.643234,1439.123360,958.782490
3,1964.341654,1434.480369,1047.950944
4,1964.341654,1433.225330,1095.935924
5,2034.643234,1463.754607,1090.501644
6,2058.186180,1484.332270,1101.103748
7,1967.436677,1513.364352,1109.822001
8,2007.629814,1530.294730,1161.599225
9,1973.551826,1541.190059,1114.040715
10,1967.436677,1540.082865,1107.107314
11,1992.640567,1541.562377,1231.347028
12,1992.640567,1566.130389,1205.127633
13,2034.643234,1610.176990,1158.304045
14,2034.643234,1630.641863,1242.260550
15,2034.643234,1623.482139,1240.125002
16,1992.640567,1613.715402,1296.813090
17,2084.119827,1627.378113,1307.385039
18,2034.643234,1634.783334,1292.706911
19,2034.643234,1629.578997,1256.147410
20,2034.643234,1628.639451,1324.222255
21,2070.014364,1635.683089,1315.640487
22,2112.438811,1664.967214,1324.222255
23,2034.643234,1681.951721,1347.176234
24,2034.643234,1662.805588,1295.071870
25,2034.643234,1672.171822,1316.423982
26,2034.643234,1676.838695,1311.340815
27,2057.539076,1668.523924,1315.640487
28,2034.643234,1663.186437,1323.088409
29,2034.643234,1660.072324,1357.358370
