Generation,BestFitness,AverageFitness,WorstFitness
0,1946.086184,1386.558457,998.014970
1,1946.086184,1422.741382,1052.750198
2,1894.757958,1419.635503,1044.201758
3,1894.757958,1447.234364,1050.382716
4,1884.373799,1453.497525,1073.357129
5,1884.373799,1468.322997,1171.014413
6,1843.476153,1499.136889,1179.351608
7,1860.220377,1494.231141,1157.056541
8,1946.086184,1499.588852,1144.874711
9,1963.664844,1533.989391,1187.054998
10,1937.661578,1538.931876,1150.613302
11,1923.915264,1547.484768,1173.003115
12,1946.086184,1553.509011,1188.777697
13,1966.649077,1572.689397,1188.777697
14,1946.086184,1576.994261,1184.771893
15,1912.556128,1568.686295,1212.196899
16,1912.556128,1579.136949,1296.075798
17,1942.329800,1587.453224,1262.765092
18,1936.938127,1599.616879,1224.051077
19,1899.583168,1596.933221,1283.581911
20,1894.757958,1600.504177,1270.642291
21,1912.312993,1601.383967,1224.410420
22,1894.757958,1602.234498,1216.132808
23,1946.086184,1603.785905,1274.203979
24,1946.086184,1605.959395,1298.192050
25,1946.086184,1631.959767,1322.213919
26,1948.001313,1625.970542,1313.341448
27,1957.776017,1620.464137,1322.213919
28,1912.556128,1626.068695,1322.213919
29,1899.583168,1633.193321,1322.213919
