Generation,BestFitness,AverageFitness,WorstFitness
0,1845.236951,1376.676140,964.422445
1,1852.876873,1421.620584,1046.219194
2,1799.940559,1425.409634,1044.704052
3,1818.620968,1441.968371,1045.535345
4,1864.230685,1485.052952,1085.943764
5,1918.485557,1485.153529,1041.110816
6,1972.654136,1490.618496,1066.513932
7,1871.976475,1496.106626,1119.391014
8,1920.345722,1502.355443,1117.457030
9,1920.345722,1528.427307,1136.877005
10,1889.597030,1549.647731,1143.376954
11,1907.861039,1543.388643,1166.595687
12,1907.861039,1550.570628,1194.979753
13,1909.153921,1564.543396,1138.279417
14,1962.888654,1569.572068,1196.473461
15,1990.443019,1577.904097,1232.439223
16,1984.900322,1593.473525,1285.692657
17,1909.161022,1595.799449,1269.052499
18,1909.161022,1590.564593,1265.871311
19,1962.888654,1623.353736,1207.793566
20,1962.888654,1653.439993,1302.629976
21,2028.529353,1632.438798,1317.608098
22,1933.093941,1596.360911,1327.198751
23,1993.139016,1614.374007,1308.996812
24,1993.139016,1627.761989,1303.927834
25,1993.139016,1623.884640,1228.878425
26,1993.139016,1642.128693,1337.287562
27,1962.326064,1644.143168,1327.198751
28,1987.455966,1642.906189,1327.198751
29,1951.994569,1632.491976,1349.394207
