Generation,BestFitness,AverageFitness,WorstFitness
0,1871.558635,1385.092040,970.923782
1,1871.558635,1442.752914,1053.279576
2,1862.478032,1431.947768,981.128972
3,1897.357639,1442.221245,1084.611604
4,1899.265804,1454.637063,1098.256577
5,1899.265804,1476.129825,1121.996050
6,1913.136821,1481.392324,1129.962214
7,1913.136821,1491.572051,1096.665279
8,1915.692687,1521.209511,1162.006224
9,1915.692687,1533.342607,1111.057227
10,1881.281972,1543.061706,1139.845309
11,1922.649782,1550.262017,1172.204259
12,1977.001042,1555.283112,1143.658190
13,1977.001042,1557.653715,1155.890596
14,1977.001042,1570.503312,1248.304798
15,1977.001042,1567.732115,1200.847717
16,1913.608295,1567.003587,1215.174705
17,1962.816888,1603.783753,1270.097296
18,1962.816888,1607.956185,1267.114490
19,1918.628640,1616.853926,1320.244387
20,1918.628640,1608.905474,1320.244387
21,1962.816888,1601.774872,1291.073634
22,1962.816888,1608.861412,1320.244387
23,1962.816888,1621.281270,1267.114490
24,1962.816888,1614.564987,1320.244387
25,1962.816888,1608.390918,1320.244387
26,1962.816888,1620.306896,1212.231735
27,2008.891176,1634.988424,1291.073634
28,2034.428780,1616.159147,1320.244387
29,1962.816888,1619.487237,1320.244387
