Generation,BestFitness,AverageFitness,WorstFitness
0,1827.806702,1404.768415,1092.719697
1,1875.326821,1447.743265,1053.009121
2,1952.294351,1443.798347,1034.777817
3,1988.126822,1448.737709,1092.051947
4,1967.682083,1470.294160,1097.767199
5,1869.736693,1474.838948,1004.733355
6,1821.253986,1470.762928,1134.847219
7,1874.466878,1492.994303,1106.854598
8,1828.785460,1508.557153,1132.136395
9,1870.705498,1521.560150,1185.630710
10,1886.181660,1531.687250,1147.732889
11,1952.294351,1529.619684,1151.286037
12,1952.294351,1539.872209,1143.272989
13,1897.671755,1560.687682,1202.056831
14,1921.588873,1565.371932,1163.877060
15,1952.294351,1558.944863,1193.854670
16,1952.294351,1562.467896,1245.964148
17,1952.294351,1582.282201,1248.550749
18,1994.626821,1598.804797,1229.223370
19,1952.294351,1583.344961,1265.653100
20,1901.017983,1599.892174,1235.042208
21,1921.588873,1606.433555,1270.836316
22,1922.857295,1596.486336,1237.119542
23,1952.294351,1598.139237,1245.923944
24,1971.518247,1609.818912,1328.480947
25,1952.294351,1606.763794,1287.453527
26,1952.294351,1637.115113,1269.191330
27,1952.294351,1630.476668,1283.152333
28,1990.217987,1622.536120,1320.091356
29,1934.288920,1621.324812,1375.767041
