Generation,BestFitness,AverageFitness,WorstFitness
0,1990.146829,1394.876651,1027.544833
1,1990.146829,1440.466105,1013.354078
2,2014.984653,1447.429537,1030.403123
3,2014.984653,1493.395882,1060.264897
4,1888.695415,1480.034793,926.241948
5,1942.572365,1471.243573,1094.145058
6,1943.188194,1492.437298,1130.379674
7,1943.188194,1506.021854,1091.765908
8,1990.146829,1547.605772,1120.059669
9,2004.423065,1577.781842,1096.232668
10,1978.010053,1589.505254,1170.214999
11,1964.416077,1586.224054,1129.587459
12,1962.087369,1573.170980,1232.724959
13,1962.087369,1586.419433,1200.478075
14,2014.984653,1610.033501,1259.766139
15,2014.984653,1636.849654,1249.904531
16,2014.984653,1641.612505,1308.451637
17,1957.966459,1636.130446,1215.877843
18,2004.423149,1665.239853,1314.414778
19,1990.146829,1660.512516,1231.184299
20,1990.146829,1648.007469,1325.214304
21,1990.146829,1636.324646,1343.562497
22,1928.451383,1629.984754,1292.444782
23,1962.087369,1640.861187,1343.562497
24,2014.984653,1650.242590,1343.562497
25,2014.984653,1663.900731,1343.562497
26,1955.745680,1667.148818,1308.451637
27,2014.984653,1657.704504,1343.562497
28,2014.984653,1641.114295,1308.451637
29,1981.397843,1653.802209,1349.170071
