Generation,BestFitness,AverageFitness,WorstFitness
0,1904.936001,1387.746477,1073.378214
1,1954.269486,1432.786390,994.298621
2,2006.248485,1442.815049,977.847203
3,2006.248485,1474.187577,1079.361748
4,1945.762054,1490.488584,1088.859833
5,1917.612133,1498.598017,1066.131950
6,1917.612133,1508.113951,1117.386341
7,1987.946696,1520.335317,1178.012987
8,1987.946696,1527.966510,1166.668305
9,1954.269486,1536.917145,1099.115108
10,1996.569991,1545.889399,1102.467609
11,1996.569991,1571.556220,1205.666986
12,1987.946696,1586.981408,1138.864639
13,2006.248485,1615.828964,1230.414066
14,2006.248485,1613.010219,1211.983430
15,2006.248485,1631.119878,1216.364312
16,2036.527493,1643.400483,1211.975957
17,2086.477909,1639.782548,1284.223574
18,2012.431301,1646.581372,1246.900737
19,2059.047438,1649.164885,1302.257277
20,2059.047438,1667.535232,1365.843819
21,2006.248485,1681.723486,1313.106465
22,2059.047438,1702.446148,1340.779002
23,2065.139488,1719.806171,1394.457246
24,2059.047438,1701.576933,1395.086669
25,2059.047438,1680.145359,1366.141527
26,2059.047438,1672.959465,1322.710796
27,2104.824346,1671.544144,1267.408246
28,2059.047438,1666.665200,1388.958053
29,2070.788327,1680.277142,1292.116669
