Generation,BestFitness,AverageFitness,WorstFitness
0,1780.337314,1380.094823,1009.868143
1,1780.337314,1410.792681,998.319285
2,1868.572577,1435.005639,1106.105921
3,1921.624016,1439.953913,1066.850046
4,1921.624016,1459.972791,1084.976066
5,1935.121614,1475.411568,1073.526068
6,1942.727852,1481.249294,1121.215417
7,1935.121614,1481.955842,1121.022725
8,1985.275462,1507.787042,1108.510687
9,1929.225929,1521.157316,1132.463472
10,1960.839379,1543.685257,1148.167148
11,1929.042890,1547.537111,1109.295303
12,1929.042890,1575.197762,1146.102028
13,1970.171011,1573.758621,1210.131910
14,1974.687199,1553.832883,1172.246121
15,1974.687199,1577.760442,1237.121077
16,1974.687199,1590.742313,1286.700427
17,1974.687199,1640.035792,1283.582526
18,1974.687199,1646.320839,1218.130965
19,2013.199047,1636.436167,1195.030171
20,1989.818728,1638.445353,1280.395328
21,1989.818728,1643.470545,1217.173427
22,1983.308069,1633.758684,1292.002958
23,1974.687199,1644.415653,1314.013936
24,1996.673763,1659.695529,1292.002958
25,1974.687199,1645.401740,1328.604969
26,1974.687199,1641.098237,1386.217760
27,1974.687199,1639.979512,1365.831259
28,1974.687199,1670.716986,1383.345280
29,1974.687199,1659.688079,1330.319379
