Generation,BestFitness,AverageFitness,WorstFitness
0,1831.092364,1401.181224,1031.338353
1,1831.092364,1447.742156,1069.402807
2,1885.093316,1456.395963,1134.908304
3,1995.081726,1464.439681,1005.881968
4,1995.081726,1480.369251,1087.244714
5,2000.142343,1503.382920,1143.604143
6,2045.941498,1519.955809,1094.337226
7,2055.148009,1546.087279,1155.784172
8,2009.286348,1577.669051,1088.836216
9,2045.941498,1589.524011,1162.733821
10,2076.638319,1612.484274,1137.582498
11,2000.142343,1609.842135,1185.407682
12,2045.941498,1606.535301,1201.461521
13,2045.941498,1635.226552,1236.720463
14,2045.941498,1648.906348,1249.906709
15,2107.375150,1672.764498,1280.866761
16,2033.142293,1683.382151,1310.713317
17,2045.941498,1682.261484,1327.823812
18,2045.941498,1669.403473,1301.557783
19,2045.941498,1709.766248,1339.712816
20,2050.681402,1721.681276,1246.585031
21,1995.081726,1720.410725,1308.930502
22,2045.941498,1713.671284,1419.588749
23,2045.941498,1701.837413,1371.384246
24,1995.081726,1695.061325,1371.384246
25,2000.142343,1704.334414,1419.588749
26,2045.941498,1718.352295,1446.731345
27,2045.941498,1725.254088,1371.384246
28,2045.941498,1721.200072,1359.181619
29,2045.941498,1715.745571,1408.076004
