Generation,BestFitness,AverageFitness,WorstFitness
0,1898.316539,1395.183261,1068.011665
1,1898.316539,1417.634936,1062.529192
2,1862.299155,1433.695372,1086.836434
3,1922.327206,1451.033365,1073.274149
4,1922.327206,1463.690980,1019.517240
5,1922.327206,1462.364820,1058.755229
6,3850.451166,1511.140716,1111.980818
7,1970.390558,1540.981106,1110.700052
8,1970.390558,1548.100071,1143.479647
9,1959.055816,1541.436842,1136.288697
10,1959.055816,1562.515839,1207.841216
11,1959.055816,1597.334351,1164.748340
12,2018.538459,1603.598276,1253.766220
13,2018.538459,1585.197507,1217.083243
14,2018.538459,1587.938561,1223.440191
15,1959.055816,1591.009545,1198.505848
16,2018.538459,1616.197904,1197.688818
17,2035.118341,1632.181304,1297.196573
18,2018.538459,1623.867071,1210.826951
19,2018.538459,1630.755668,1244.441493
20,2018.538459,1644.651950,1276.466208
21,2066.175709,1651.138897,1327.586265
22,1964.651078,1649.109302,1255.666061
23,1970.390558,1650.960370,1285.339606
24,2018.538459,1647.664869,1327.586265
25,2018.538459,1643.499550,1264.999480
26,2018.538459,1652.011778,1234.239083
27,2018.538459,1651.098930,1288.526326
28,2041.427407,1641.536840,1286.194493
29,2016.087644,1654.248894,1359.770650
