Generation,BestFitness,AverageFitness,WorstFitness
0,1830.508642,1391.058257,1021.996964
1,1830.508642,1433.245827,1009.755446
2,1880.467673,1435.081775,940.355377
3,1954.378837,1461.042130,1016.709694
4,1941.504309,1456.233385,1013.442525
5,1975.304747,1477.119633,1079.871210
6,2004.699742,1501.008397,1083.750965
7,2034.453022,1521.410281,1116.416059
8,1953.128549,1540.585880,1192.468119
9,1953.128549,1545.849826,1199.091870
10,2004.699742,1555.489213,1166.740991
11,2034.453022,1593.268216,1186.012116
12,2006.958366,1610.238564,1126.759443
13,1999.287204,1599.808239,1181.922474
14,2054.406507,1608.451899,1157.416682
15,2006.958366,1624.086692,1195.871463
16,2006.958366,1629.434814,1208.856918
17,2059.312836,1651.158580,1216.337854
18,2059.312836,1665.506165,1274.500313
19,2059.312836,1697.438824,1319.831266
20,2059.312836,1700.821313,1276.303468
21,2059.312836,1698.872153,1349.559901
22,2059.312836,1716.223550,1263.633798
23,2059.312836,1719.538882,1352.585422
24,2072.483702,1720.731131,1411.808507
25,2099.717899,1718.558165,1352.585422
26,2059.312836,1705.013304,1323.531062
27,2059.312836,1725.645788,1365.704438
28,2059.312836,1750.788833,1451.209168
29,2077.552836,1733.823123,1451.209168
