Generation,BestFitness,AverageFitness,WorstFitness
0,1938.385662,1383.333983,908.933551
1,1938.385662,1438.756473,1071.099027
2,1896.692299,1449.790703,1032.417693
3,1860.369860,1462.432209,1015.496401
4,1874.363595,1454.502418,1119.541714
5,1891.468526,1442.323547,1082.378914
6,1885.472956,1477.057365,1069.126052
7,1832.205813,1483.785895,1132.708159
8,1899.922990,1500.683886,1133.877328
9,1899.922990,1511.916401,1133.533213
10,1899.922990,1512.460252,1151.741260
11,1899.922990,1510.522945,1140.375371
12,1953.726585,1540.676162,1151.048865
13,1996.281526,1572.964367,1204.230570
14,1953.726585,1566.678741,1213.044343
15,1953.726585,1591.449929,1163.664579
16,1953.726585,1599.175782,1228.722415
17,1953.726585,1584.141399,1273.581191
18,1975.461001,1580.391362,1225.756919
19,1993.445807,1599.444975,1200.133853
20,1914.038287,1607.321242,1288.203902
21,1905.323245,1595.062362,1309.045003
22,1953.726585,1600.371552,1256.174395
23,1953.726585,1617.289865,1291.629976
24,1953.726585,1615.788290,1328.025253
25,1953.726585,1603.103502,1280.029328
26,1953.726585,1605.950747,1276.557032
27,1953.726585,1636.882065,1296.762985
28,2001.397112,1635.186711,1322.948707
29,1953.726585,1617.671508,1328.025253
