Generation,BestFitness,AverageFitness,WorstFitness
0,1875.840772,1390.882904,1011.851238
1,1875.840772,1414.529935,949.166875
2,1912.843788,1411.059699,1020.220416
3,1912.843788,1431.163167,1025.322493
4,1908.179519,1458.926517,1053.627160
5,1851.257194,1487.107961,1049.141503
6,1900.390513,1498.834648,1033.335139
7,1912.845242,1512.774374,1142.840873
8,1965.289733,1517.751922,1171.029963
9,1965.289733,1531.546953,1111.336011
10,1860.599185,1532.861583,1169.959355
11,1965.289733,1544.848664,1168.329726
12,1988.102400,1552.579599,1144.285569
13,1970.838618,1553.580003,1170.684178
14,2033.481409,1583.215398,1229.888235
15,2033.481409,1602.613710,1247.240058
16,1984.216187,1596.921139,1262.223496
17,1926.612853,1617.557914,1264.796628
18,1984.280676,1620.049110,1192.672093
19,1982.554572,1623.804964,1274.248904
20,1970.838618,1629.936325,1248.205479
21,1984.216187,1644.762779,1305.486224
22,1991.906199,1645.154213,1266.946154
23,1970.838618,1643.776821,1310.395859
24,1911.403646,1623.891133,1285.888265
25,1918.072646,1635.633654,1285.888265
26,2033.481409,1647.310363,1342.354132
27,2033.481409,1658.117495,1305.486224
28,2018.832070,1658.138027,1385.666553
29,2008.165821,1658.445636,1359.032199
