Generation,BestFitness,AverageFitness,WorstFitness
0,1877.349918,1393.920665,1053.489819
1,1900.164434,1440.858606,1074.604117
2,1940.094969,1440.544529,1069.711585
3,1900.164434,1431.757937,1030.925981
4,1824.139847,1429.749961,1092.193477
5,1803.904465,1441.071292,1124.077783
6,1884.699602,1449.695411,1143.282359
7,1884.699602,1481.503163,1106.850342
8,1824.139847,1490.796590,1153.905502
9,1823.063688,1489.970232,1191.059758
10,1846.684037,1497.454079,1088.151957
11,1873.647680,1496.171442,1130.847583
12,1873.647680,1523.832363,1200.045297
13,1885.451321,1542.869881,1129.994863
14,1884.699602,1543.817692,1154.844704
15,1900.164434,1551.951977,1180.830769
16,1907.768191,1549.277238,1232.461384
17,1900.164434,1563.306754,1274.988456
18,1900.164434,1561.077769,1260.067649
19,1873.647680,1560.027503,1202.864882
20,1901.289729,1572.973862,1246.703095
21,1900.164434,1553.617115,1277.036994
22,1907.768191,1553.989208,1207.405552
23,1846.684037,1557.001511,1214.201879
24,1900.164434,1557.167479,1292.027429
25,1900.164434,1559.752606,1252.581427
26,1900.164434,1565.468628,1252.581427
27,1909.574795,1571.398919,1248.031119
28,1919.755347,1582.118732,1201.554368
29,1853.121774,1576.404426,1251.078384
