Generation,BestFitness,AverageFitness,WorstFitness
0,2010.255287,1402.892524,975.234298
1,2010.255287,1447.566324,1050.119950
2,2002.300813,1468.584011,1046.158734
3,2002.300813,1490.397421,1086.568398
4,1998.682619,1510.157106,1073.807997
5,2062.600372,1513.447473,1147.300674
6,2062.600372,1537.800637,1050.147970
7,2062.600372,1565.518051,1142.847753
8,2112.832617,1590.011216,1136.176889
9,2122.011838,1626.996252,1149.557953
10,2124.232617,1628.496481,1180.116976
11,2150.832617,1638.913339,1147.537103
12,2136.520929,1663.068635,1249.398727
13,2112.832617,1655.364384,1187.093249
14,2112.832617,1671.601815,1274.839527
15,2112.832617,1676.402111,1247.123063
16,2112.832617,1691.176697,1280.452505
17,2112.832617,1724.979446,1247.346163
18,2112.832617,1737.257536,1295.092791
19,2112.832617,1763.623271,1319.438256
20,2088.968231,1760.892657,1366.450804
21,2112.832617,1755.539151,1418.424085
22,2165.246410,1773.582346,1313.826862
23,2112.832617,1767.587562,1431.607975
24,2112.832617,1744.018046,1427.859656
25,2112.832617,1753.546326,1469.663554
26,2112.832617,1781.473195,1469.663554
27,2112.832617,1780.514427,1469.663554
28,2112.832617,1757.077229,1431.908075
29,2121.749769,1758.982803,1469.663554
