Generation,BestFitness,AverageFitness,WorstFitness
0,1827.524515,1379.322615,972.921497
1,1827.524515,1408.519670,974.052099
2,1860.784433,1417.588758,1081.115754
3,1892.700179,1429.973185,1029.128783
4,1957.886799,1454.428548,1127.068332
5,2002.979605,1471.457679,960.842730
6,1957.886799,1486.201739,1055.852367
7,1909.326207,1488.437414,1093.896918
8,1909.326207,1503.137936,1129.556298
9,1892.700179,1513.518800,1104.500726
10,1892.700179,1506.480427,1097.475289
11,1860.784433,1520.588398,1181.756148
12,1875.345542,1546.994222,1189.879259
13,1957.886799,1555.706922,1227.156295
14,1957.886799,1555.169045,1179.843017
15,1909.326207,1542.393927,1237.949994
16,1923.891983,1561.853095,1271.695483
17,1909.326207,1582.076103,1225.931516
18,1957.886799,1606.403663,1250.807232
19,1957.886799,1618.305781,1165.218021
20,1957.886799,1615.368530,1351.963778
21,1957.886799,1622.130753,1267.218774
22,1957.886799,1624.513194,1328.217442
23,1972.459006,1630.535399,1259.686714
24,1957.886799,1622.624258,1300.608697
25,1909.326207,1640.269035,1315.496567
26,1957.886799,1652.893496,1290.695233
27,1957.886799,1639.737066,1333.172600
28,1957.886799,1631.518396,1333.172600
29,1909.326207,1633.278546,1292.817117
