Generation,BestFitness,AverageFitness,WorstFitness
0,1935.415129,1409.561333,1085.350804
1,1956.675706,1438.141202,1047.614709
2,1916.968154,1447.342070,988.446705
3,1863.895719,1456.205803,1056.652281
4,1867.355071,1467.115076,1153.151878
5,1907.513189,1471.725037,1135.683624
6,1907.513189,1487.020397,1067.662050
7,1916.968154,1502.110285,1069.905529
8,1916.968154,1518.516869,1024.150524
9,1915.923054,1506.237032,1058.663428
10,1857.435027,1527.516428,1180.810217
11,1870.388363,1540.883315,1162.065727
12,1916.968154,1558.783374,1240.398152
13,1931.857368,1571.160707,1194.381376
14,1879.757251,1569.105370,1186.930628
15,1943.878546,1575.977840,1269.567510
16,1943.878546,1580.442551,1218.598633
17,1943.878546,1582.771279,1179.685528
18,1932.973326,1595.110425,1274.922902
19,1889.582555,1609.034657,1232.462164
20,1904.516072,1590.133097,1300.368494
21,1904.516072,1586.040188,1291.506144
22,1916.968154,1580.864707,1223.718557
23,1943.878546,1591.867527,1321.515889
24,1943.878546,1587.381947,1282.962354
25,1892.749510,1604.747463,1250.331289
26,1935.415129,1627.171199,1300.880217
27,1935.415129,1625.572022,1274.922902
28,1890.188809,1626.763012,1296.808573
29,1938.410154,1614.837158,1286.958823
