Generation,BestFitness,AverageFitness,WorstFitness
0,1883.571339,1382.312807,988.879690
1,1883.571339,1428.541472,1010.866639
2,1920.099175,1448.015048,1092.271602
3,1862.343164,1451.823358,1049.927043
4,1864.101395,1461.366700,1007.998550
5,1883.571339,1480.497048,1076.966729
6,1883.571339,1480.999310,1077.345013
7,1937.372273,1497.360694,1167.365068
8,1937.372273,1538.839930,1131.443889
9,1999.195452,1542.220916,1177.585285
10,2006.786941,1549.229871,1159.600218
11,1947.746729,1556.875375,1217.255201
12,1937.372273,1568.541155,1177.026891
13,1979.024081,1584.172174,1158.868931
14,1982.809832,1582.971542,1210.258297
15,1947.746729,1595.127800,1198.715843
16,1947.746729,1607.962890,1219.666466
17,2001.381307,1625.186947,1206.993840
18,2003.845896,1640.388904,1283.600837
19,2014.392988,1657.480216,1232.860953
20,1952.915617,1650.924653,1258.248058
21,1999.195452,1653.592654,1317.960231
22,1999.195452,1674.414181,1292.230032
23,1952.915617,1652.109491,1324.726539
24,1962.540681,1643.610845,1320.432314
25,1952.915617,1668.718266,1325.564963
26,1999.195452,1679.085982,1365.583063
27,1999.195452,1660.025667,1380.066096
28,2042.078387,1667.051588,1347.407523
29,1999.195452,1672.360900,1382.566867
