Generation,BestFitness,AverageFitness,WorstFitness
0,1991.313259,1396.603373,1017.849507
1,1991.313259,1461.607194,965.254016
2,1865.128949,1460.439746,1073.978248
3,1942.044374,1455.959203,1050.281561
4,1991.313259,1452.240186,1039.088112
5,1991.313259,1471.598387,1103.938656
6,1942.044374,1497.122200,1102.616600
7,1992.768597,1509.067818,1097.035775
8,1991.313259,1508.007274,1163.424401
9,1949.218567,1541.196087,1148.073889
10,1942.044374,1552.417149,1167.652268
11,1942.044374,1565.029492,1078.293150
12,1936.169079,1582.357409,1149.411602
13,1936.169079,1586.673106,1220.604805
14,1942.044374,1568.996443,1156.935808
15,1942.044374,1573.842731,1207.448255
16,1991.313259,1602.251282,1253.757463
17,1991.313259,1616.334069,1282.000864
18,1991.313259,1619.914771,1290.549006
19,1991.313259,1627.597604,1254.465545
20,2029.455813,1640.721892,1343.393351
21,1991.313259,1656.692941,1343.393351
22,1991.313259,1660.589343,1343.233440
23,1979.877455,1663.860863,1204.250196
24,1938.065878,1658.040529,1254.465545
25,1942.044374,1646.959113,1361.660271
26,1991.313259,1658.942634,1361.660271
27,1991.313259,1650.921686,1384.003937
28,1991.313259,1653.784427,1374.589085
29,1991.313259,1643.963220,1386.480180
