Generation,BestFitness,AverageFitness,WorstFitness
0,1860.961280,1400.150472,1009.011268
1,1937.939742,1453.138732,1124.242819
2,1823.403702,1431.967281,1024.906856
3,1860.961280,1440.183226,1109.457030
4,1923.505241,1459.355575,1070.345325
5,1923.505241,1480.289822,1107.070180
6,1917.413208,1503.550721,1161.802858
7,1904.888607,1519.853411,1147.910354
8,1902.089624,1520.637410,1029.460324
9,1923.505241,1516.475423,1146.684097
10,1951.396857,1545.422456,1241.776494
11,2016.624672,1564.767387,1169.205259
12,1914.351667,1539.296874,1232.859118
13,1931.431718,1550.560831,1156.515228
14,1949.710792,1566.631100,1163.764216
15,1923.505241,1577.107855,1248.041658
16,1923.505241,1581.848825,1251.333740
17,1904.888607,1583.051120,1340.225656
18,1912.452942,1594.627643,1289.131783
19,1960.359436,1599.381235,1280.056329
20,2027.539216,1614.466575,1205.127647
21,1923.505241,1589.935871,1267.597122
22,1906.155997,1596.862814,1281.312978
23,1923.505241,1595.039104,1248.041658
24,1960.359436,1582.699255,1224.708998
25,1960.359436,1591.074042,1283.846451
26,1897.542558,1600.796075,1249.988148
27,1951.396857,1586.871227,1249.988148
28,1951.396857,1600.336657,1348.450339
29,1960.359436,1611.082881,1274.136724
