Generation,BestFitness,AverageFitness,WorstFitness
0,1801.074132,1393.039919,985.327948
1,1865.104160,1404.608062,1058.233036
2,1937.161261,1412.584305,946.028803
3,1841.306997,1450.172131,1087.574972
4,1880.408651,1473.988040,1084.604514
5,1961.648202,1491.803639,1135.145509
6,2000.534411,1513.111171,1065.793070
7,1929.282333,1535.640095,1122.563743
8,1941.438322,1553.405281,1187.099840
9,2021.639175,1548.698196,1180.656923
10,1928.073884,1556.145337,1242.063503
11,1975.908436,1563.863628,1183.976320
12,1929.282333,1581.127404,1210.060623
13,1941.438322,1612.801920,1200.742842
14,1941.438322,1626.160039,1176.499587
15,2030.911208,1627.905465,1216.160580
16,1929.905565,1619.077477,1204.394541
17,1988.822379,1616.388555,1301.729967
18,1981.132953,1626.177465,1233.363489
19,1981.132953,1625.687842,1265.908977
20,1981.132953,1619.649142,1337.913725
21,1929.962983,1648.785929,1367.319805
22,1951.890110,1661.367295,1301.729967
23,2017.471800,1664.920979,1289.412666
24,1959.047088,1656.254910,1337.913725
25,1981.132953,1653.436993,1266.558085
26,1994.860333,1667.573332,1339.651790
27,1981.132953,1670.512292,1403.210182
28,1941.438322,1646.220838,1357.421653
29,1951.801774,1643.780673,1306.238236
