Generation,BestFitness,AverageFitness,WorstFitness
0,1845.700440,1382.991787,913.586688
1,1845.700440,1422.651508,1077.821228
2,1794.543494,1418.448946,1078.168252
3,1787.487675,1421.335389,970.868962
4,1838.047765,1456.139684,1087.091004
5,1891.724402,1474.207903,1081.757815
6,1940.783326,1494.248917,1122.959779
7,1940.783326,1491.564275,1084.454190
8,1828.212655,1482.846392,1140.431972
9,1901.470184,1503.717882,1141.248892
10,1922.712919,1519.722586,1170.980361
11,1881.508942,1529.559687,1143.831216
12,1881.508942,1540.822061,1108.693582
13,1897.298513,1550.497523,1128.022619
14,1897.298513,1537.159206,1180.584125
15,1940.783326,1530.594865,1235.734926
16,1940.783326,1560.031957,1162.267543
17,1898.715169,1577.751260,1252.691613
18,1940.783326,1556.408219,1260.317204
19,1940.783326,1562.013335,1282.105470
20,1940.783326,1563.738568,1192.782945
21,1949.607083,1579.743582,1261.708970
22,1953.465539,1584.679879,1260.828791
23,1940.783326,1582.837491,1247.804692
24,1940.783326,1579.216545,1304.652079
25,1940.783326,1560.805312,1266.027245
26,1901.470184,1568.912258,1304.652079
27,1905.821164,1588.294640,1281.063861
28,1905.821164,1581.124761,1304.652079
29,1881.508942,1580.744687,1304.652079
