Generation,BestFitness,AverageFitness,WorstFitness
0,1885.840931,1420.520702,1016.903231
1,1945.852511,1468.227331,1124.692437
2,1885.840931,1458.541636,1086.922535
3,1885.840931,1464.565386,1038.505203
4,1896.157952,1466.018934,1020.527553
5,1972.069663,1468.010160,1066.298129
6,1949.888751,1485.336676,1055.204000
7,1953.701566,1495.430601,1058.691561
8,1953.701566,1511.294831,1171.456995
9,1949.888751,1531.326608,1126.481855
10,1949.888751,1531.822311,1177.713944
11,1896.852010,1533.433448,1140.882323
12,1896.852010,1548.045142,1175.080582
13,1888.256907,1573.412513,1120.770891
14,1888.256907,1573.460731,1155.869456
15,1934.166955,1564.079280,1204.785410
16,1949.888751,1577.055837,1231.847266
17,1953.701566,1584.814218,1265.556510
18,1960.412072,1608.774050,1259.879692
19,2020.954885,1616.681751,1294.124968
20,2020.954885,1618.585015,1281.651079
21,1971.104653,1597.646999,1294.124968
22,2020.954885,1601.510506,1237.059929
23,2041.084830,1594.818782,1281.651079
24,1938.659149,1600.487622,1345.095190
25,2020.954885,1626.390782,1319.024244
26,2043.876757,1647.073875,1338.188643
27,2020.954885,1647.312819,1294.124968
28,2020.954885,1643.900370,1338.774097
29,2020.954885,1633.542503,1329.970554
