Generation,BestFitness,AverageFitness,WorstFitness
0,1706.886235,1384.825014,993.943971
1,1758.718925,1412.898705,977.365612
2,1823.119694,1419.803840,1010.339630
3,1797.768461,1443.638226,1104.641483
4,1797.768461,1455.392770,1050.922551
5,1866.209429,1470.345674,1106.828628
6,1915.277426,1494.135093,1134.075625
7,1945.695690,1506.378630,1071.166721
8,1866.209429,1498.294520,1066.227353
9,1893.238348,1487.827665,1087.003318
10,1860.993174,1497.361179,1166.386585
11,1822.156906,1505.626993,1095.940545
12,1897.512291,1528.561820,1164.814752
13,1897.512291,1551.480066,1141.331051
14,1862.827786,1535.252027,1214.095348
15,1866.209429,1544.827376,1184.825608
16,1897.512291,1567.766739,1254.652819
17,1937.943567,1572.197290,1191.218455
18,1868.710371,1560.020947,1167.013510
19,1915.277426,1561.343057,1188.425491
20,1915.277426,1567.881653,1223.555225
21,1907.061748,1590.413850,1281.053454
22,1866.209429,1578.466957,1264.941663
23,1915.277426,1559.623833,1269.550432
24,1925.891803,1574.698534,1218.171302
25,1915.277426,1577.353392,1319.000397
26,1929.252087,1582.978180,1242.521645
27,1883.057930,1576.237416,1272.297084
28,1915.277426,1578.767112,1206.971724
29,1915.277426,1585.797584,1310.750431
