Generation,BestFitness,AverageFitness,WorstFitness
0,1954.208111,1412.937184,1037.139024
1,1954.208111,1454.829185,1080.063510
2,1934.918628,1467.330841,1000.541752
3,1954.208111,1471.592665,1013.387140
4,1954.208111,1459.588069,1043.295445
5,1930.006811,1497.665678,1082.964606
6,1934.918628,1502.044756,986.151628
7,1915.814867,1501.623790,1149.865528
8,1928.872137,1518.702575,1136.864122
9,1951.747894,1540.287721,1167.234989
10,1938.519620,1549.801085,1158.905124
11,1969.570431,1558.132623,1214.153503
12,1969.570431,1567.143447,1188.705021
13,1969.570431,1570.381486,1224.189330
14,1969.570431,1583.830296,1264.272983
15,1906.986965,1573.658863,1240.108137
16,1954.208111,1565.547224,1243.178683
17,1954.208111,1578.945811,1276.412936
18,1969.570431,1593.188513,1270.243843
19,1969.570431,1593.770731,1254.525609
20,1932.487927,1608.178234,1146.649888
21,1969.570431,1619.113204,1292.303916
22,1969.570431,1598.552605,1319.884780
23,1928.872137,1602.177333,1292.303916
24,1954.208111,1621.514040,1325.270360
25,2000.988709,1628.318294,1319.944995
26,1988.382718,1604.285469,1239.191036
27,1969.570431,1620.586947,1319.944995
28,1974.392036,1631.429297,1325.270360
29,1954.208111,1620.463619,1319.944995
