Generation,BestFitness,AverageFitness,WorstFitness
0,1729.309468,1384.512467,1001.514001
1,1798.610580,1418.600896,1097.420345
2,1831.821824,1430.768362,1049.580114
3,1880.481130,1445.584263,1090.620880
4,1892.687902,1460.621167,1122.754377
5,1892.687902,1455.460666,1070.608196
6,1898.699876,1458.191427,999.871230
7,1930.543245,1490.154786,1087.271417
8,1904.707599,1504.937521,1154.380401
9,1945.772934,1524.424626,1114.627954
10,1950.483116,1521.200687,1147.355517
11,1908.609516,1520.500392,1159.077272
12,1998.921582,1553.624220,1155.759377
13,1998.921582,1574.127045,1155.759377
14,1965.618311,1575.423854,1132.935352
15,1951.776568,1585.394922,1130.855239
16,1998.921582,1585.890298,1165.645745
17,2011.296744,1617.972748,1204.703450
18,1998.921582,1619.597357,1188.520191
19,1998.921582,1628.084949,1254.699158
20,2030.822284,1633.413685,1160.346169
21,1998.921582,1636.637385,1314.779759
22,1998.921582,1650.857384,1342.395612
23,1998.921582,1640.125032,1289.122125
24,1998.921582,1638.384251,1292.993149
25,2003.646225,1642.882359,1219.945200
26,2017.490347,1627.315606,1261.130783
27,1998.921582,1647.048475,1301.859752
28,1998.921582,1642.849224,1329.660482
29,1998.921582,1628.248275,1355.852977
