Generation,BestFitness,AverageFitness,WorstFitness
0,1842.760224,1388.347569,975.759968
1,1852.806251,1428.439191,1090.618802
2,1967.377791,1424.762145,1040.832582
3,1990.187679,1454.392027,1071.163846
4,1873.113662,1445.409115,1092.325786
5,1912.280074,1462.430409,1097.421234
6,1917.531796,1459.901134,1069.494187
7,1921.218457,1500.306043,1082.520819
8,1965.105078,1518.580100,1099.444967
9,2001.225342,1538.034082,1113.614261
10,1966.670728,1546.235782,1160.483015
11,1965.105078,1541.727159,1125.274852
12,1965.105078,1559.487352,1134.068730
13,1965.105078,1573.254889,1139.253677
14,1921.218457,1579.879009,1216.918781
15,1966.670728,1579.339463,1188.905473
16,1988.461725,1596.665910,1202.884477
17,1967.377791,1601.461400,1178.496954
18,1966.670728,1612.478121,1244.141926
19,1966.670728,1609.380650,1261.650474
20,1976.513907,1617.674999,1202.884477
21,1967.377791,1632.424593,1206.767834
22,1967.377791,1643.877671,1339.801353
23,1967.377791,1655.221784,1334.806357
24,1967.377791,1652.384521,1339.801353
25,1967.377791,1637.573295,1339.801353
26,1978.675858,1619.268073,1306.887744
27,1965.105078,1615.101463,1306.887744
28,1974.923311,1616.247733,1307.654849
29,1942.835644,1627.010610,1334.806357
