Generation,BestFitness,AverageFitness,WorstFitness
0,1837.977741,1378.080064,1012.657656
1,1837.977741,1407.584389,1026.103551
2,1887.642532,1415.467751,991.263776
3,1887.642532,1430.202099,1044.493291
4,1881.491903,1452.598345,1087.289062
5,1889.863260,1464.271812,980.562472
6,1884.525324,1470.008111,1128.425772
7,1913.162505,1489.909146,995.969272
8,1923.797555,1514.364566,1180.815759
9,1923.797555,1536.101727,1108.104303
10,1928.298517,1549.653781,1082.557905
11,1977.156855,1565.417911,1061.145809
12,1977.156855,1584.905800,1184.657222
13,1977.156855,1584.158096,1193.382511
14,1957.494708,1603.310072,1254.312769
15,1977.156855,1615.324544,1155.944353
16,2040.087456,1621.287549,1248.969699
17,1977.156855,1645.944169,1307.875666
18,1928.298517,1652.147888,1300.435756
19,1928.298517,1631.342859,1301.640633
20,1928.298517,1621.441358,1256.588540
21,1977.156855,1635.429130,1332.277741
22,1977.156855,1641.061958,1357.948798
23,2004.570860,1655.347673,1294.561485
24,1997.133343,1652.987403,1357.948798
25,2027.657724,1646.538196,1357.948798
26,1977.156855,1656.998079,1394.369751
27,1928.298517,1646.151946,1385.879048
28,1935.991296,1655.558177,1357.148563
29,1930.572536,1651.924744,1357.948798
