Generation,BestFitness,AverageFitness,WorstFitness
0,1934.070507,1400.275455,1004.834637
1,1944.356496,1454.309791,1076.991900
2,2005.639282,1459.967170,1090.261952
3,2005.639282,1480.713269,994.032951
4,1900.528623,1479.317882,1036.499858
5,1874.407594,1497.411937,1076.646981
6,1888.449782,1507.416677,1119.263928
7,2005.639282,1501.505186,1170.323072
8,2005.639282,1513.399349,1164.317916
9,1953.019095,1522.258333,1143.247373
10,1935.284999,1536.233474,1196.358961
11,1935.284999,1537.797507,1192.916338
12,1953.019095,1556.188553,1207.520092
13,2005.639282,1573.422713,1134.292673
14,2005.639282,1583.829780,1228.714225
15,2005.639282,1571.448082,1230.452107
16,2005.639282,1577.452918,1226.671323
17,1942.706275,1597.146124,1175.376957
18,1942.706275,1582.395386,1245.910819
19,1956.129374,1594.998301,1234.502563
20,2005.639282,1609.916804,1256.260471
21,2005.639282,1601.190661,1231.286376
22,2005.639282,1591.115457,1296.164293
23,2016.333618,1616.145544,1307.895885
24,2005.639282,1625.820542,1307.895885
25,1956.129374,1617.764224,1222.628921
26,2005.639282,1624.263060,1257.133462
27,2005.639282,1623.579329,1241.577215
28,2048.451993,1625.245958,1307.895885
29,1944.636308,1607.004324,1307.895885
