Generation,BestFitness,AverageFitness,WorstFitness
0,1896.726783,1392.582832,1054.122865
1,1933.891068,1429.726694,1022.828299
2,1859.914075,1421.390478,1000.538566
3,1859.914075,1445.523158,1018.805423
4,1908.287867,1465.885233,1052.320136
5,1908.287867,1475.439312,1052.186822
6,1886.879148,1469.265282,939.474285
7,1947.704131,1501.089784,1086.775334
8,1914.800173,1533.427772,1148.022328
9,1928.001343,1541.719640,1160.813936
10,1956.030614,1550.499471,1191.651267
11,1956.030614,1570.623542,1178.910137
12,1990.463970,1576.894985,1134.012003
13,1969.162468,1570.881029,1178.792467
14,1928.001343,1570.942229,1221.859204
15,1928.001343,1595.238710,1213.083484
16,1902.929680,1599.549661,1215.864398
17,1962.206617,1624.238121,1279.572722
18,1970.157337,1623.487818,1255.977991
19,1969.162468,1618.682762,1272.814438
20,1986.968265,1629.083432,1223.059751
21,2019.283162,1626.587943,1233.144794
22,1956.030614,1629.868400,1258.842083
23,1956.030614,1614.513727,1264.562617
24,1914.800173,1621.273069,1317.901791
25,1969.162468,1616.673678,1273.530230
26,1969.162468,1634.322554,1327.102268
27,1969.162468,1634.555525,1279.572722
28,1969.162468,1626.353956,1293.125350
29,1969.162468,1637.453367,1272.814438
