Generation,BestFitness,AverageFitness,WorstFitness
0,1924.207038,1391.199782,1035.604521
1,1924.207038,1433.799809,992.997315
2,1875.019162,1446.345122,1074.963977
3,1886.820915,1454.834927,1078.705393
4,1936.731146,1464.414598,1062.952230
5,1998.537177,1488.647573,1084.967357
6,2065.984056,1515.353026,1096.382499
7,1974.314253,1525.088660,1139.211880
8,1994.161892,1562.504579,1180.148303
9,2000.345678,1587.502996,1154.403037
10,2054.030971,1588.490079,1157.016511
11,2054.030971,1581.975048,1180.316130
12,2017.000011,1612.279105,1164.357862
13,1990.026991,1651.174763,1160.998515
14,2013.825290,1657.234675,1217.662813
15,1991.372900,1640.559227,1241.745511
16,1990.026991,1637.216781,1234.000847
17,2054.030971,1662.086607,1309.493980
18,2054.030971,1677.028754,1309.493980
19,2054.030971,1687.110189,1343.501679
20,2026.329452,1694.960937,1303.543006
21,2054.030971,1689.674168,1319.665416
22,2054.030971,1678.593142,1392.582088
23,2054.030971,1690.263711,1300.266210
24,2083.104354,1690.503964,1315.096069
25,2107.065137,1690.820146,1383.808956
26,2054.030971,1696.571341,1434.385524
27,2054.030971,1701.521308,1383.808956
28,2054.030971,1699.111134,1366.598373
29,2054.030971,1701.215550,1434.385524
