Generation,BestFitness,AverageFitness,WorstFitness
0,1848.263602,1363.289034,931.450505
1,1848.263602,1399.274823,1039.478860
2,1816.407014,1396.774558,1011.011575
3,1835.953668,1424.772412,1008.152860
4,1911.862954,1451.027495,985.116411
5,1911.862954,1449.168011,1110.811687
6,1855.526386,1477.721780,1112.575896
7,1961.004149,1499.182976,1089.617094
8,1961.004149,1494.795213,1112.462889
9,1961.004149,1499.717477,1152.853960
10,1961.004149,1517.031068,1121.596120
11,1929.093365,1535.445063,1174.062860
12,1929.093365,1561.281689,1182.755972
13,1926.656955,1576.473098,1182.825039
14,1961.004149,1581.868360,1272.519874
15,1966.868573,1576.365803,1223.900150
16,1929.093365,1572.780698,1156.142439
17,1904.619258,1596.751275,1265.245480
18,1919.831302,1617.194554,1280.401531
19,1929.093365,1609.188372,1327.994099
20,1963.327283,1613.319962,1226.078031
21,1911.862954,1606.959508,1247.273134
22,1929.093365,1595.708907,1235.007321
23,1961.004149,1589.151005,1267.222512
24,2002.638338,1597.170732,1297.238905
25,1961.004149,1602.313026,1327.028145
26,2025.791018,1615.657870,1320.008930
27,1961.004149,1619.064300,1329.458468
28,1961.004149,1622.698216,1314.231811
29,1961.004149,1623.929549,1267.416437
