Generation,BestFitness,AverageFitness,WorstFitness
0,1899.200674,1414.822482,1054.248444
1,1930.452655,1470.392344,1021.718220
2,1855.915578,1454.029239,944.287403
3,1888.670632,1474.272723,1069.011956
4,1893.833695,1499.468405,1116.742403
5,1898.341414,1503.983062,1165.256246
6,1932.644058,1530.540474,1126.487923
7,1947.862346,1549.786362,1161.691418
8,1946.667519,1550.929312,1212.906243
9,1946.667519,1562.940295,1194.643895
10,1991.645748,1584.982183,1125.639237
11,1991.645748,1597.218534,1106.683311
12,2003.256262,1608.992909,1189.039654
13,2003.256262,1618.801153,1251.728154
14,2003.256262,1629.436352,1187.674974
15,1950.787092,1624.530643,1306.055600
16,1957.475536,1619.919286,1273.091595
17,2009.279047,1637.367609,1262.887829
18,2019.892136,1638.767091,1276.134183
19,2009.279047,1618.890175,1318.139657
20,1946.905743,1602.341283,1210.461728
21,1954.220999,1635.912314,1248.907810
22,2003.256262,1649.597239,1280.811718
23,2003.256262,1635.690235,1325.870561
24,2009.279047,1645.717864,1325.870561
25,2034.653851,1661.330785,1261.953369
26,1991.645748,1653.265227,1227.993977
27,2009.279047,1668.334701,1319.947853
28,2009.279047,1667.574069,1325.870561
29,1961.818442,1656.895479,1325.870561
