Generation,BestFitness,AverageFitness,WorstFitness
0,1904.160072,1394.776598,1092.096985
1,1936.595791,1410.558468,1027.568842
2,1877.532702,1423.818150,1042.737682
3,1877.532702,1455.758808,1093.483908
4,1894.115569,1457.593308,1038.421596
5,1938.348023,1493.665865,1096.219388
6,1994.680533,1498.868259,1054.636971
7,1994.680533,1490.351002,1096.085157
8,1994.680533,1504.532596,1099.899203
9,1994.680533,1528.188012,1048.186922
10,1939.271320,1554.962495,1151.731158
11,2031.798147,1581.230326,1135.118639
12,1939.271320,1569.438856,1074.414864
13,1939.271320,1575.746884,1175.074004
14,2029.693964,1591.132352,1109.401857
15,1994.680533,1591.554393,1261.016621
16,2010.424272,1614.874383,1246.434335
17,1994.680533,1631.589155,1279.485184
18,1994.680533,1617.064995,1273.445783
19,1994.680533,1606.405802,1273.445783
20,1994.680533,1609.891614,1265.195130
21,2057.876164,1615.719100,1251.552413
22,1994.680533,1620.679553,1281.540476
23,1939.271320,1622.186495,1276.392591
24,1994.680533,1636.664293,1281.107989
25,2047.758920,1632.726451,1352.102235
26,1994.680533,1621.977322,1315.503431
27,2030.841884,1621.051749,1276.098779
28,1939.271320,1658.635499,1330.900094
29,2035.339851,1668.749483,1352.102235
